Property_price_EGP,Location_governorate,Location_City,Bed_Rooms,Bath_Rooms,Home_Space_SQM,Furnished,Property_Type,Payment_Option,Delivery_Date
"2,700,000",Cairo,Madinaty,3,2.0,116,No,Apartment,Cash,Ready To Move
"2,100,000Negotiable",,150 SQM,32icon/categories/area150 SQM,,icon/categories/area150,No,Apartment,Cash,Ready To Move
"4,260,000",Cairo,New Cairo - El Tagamoa,2,2.0,140,No,Apartment,Cash,Ready To Move
"3,000,000Negotiable",,180 SQM,32icon/categories/area180 SQM,,icon/categories/area180,No,Apartment,Cash,Ready To Move
"330,000Negotiable",,100 SQM,21icon/categories/area100 SQM,,icon/categories/area100,No,Apartment,Cash,Ready To Move
"3,500,000Negotiable",,145 SQM,33icon/categories/area145 SQM,,icon/categories/area145,No,Apartment,Cash,Ready To Move
"3,250,000",Cairo,Madinaty,3,2.0,116,No,Apartment,Cash,Ready To Move
"4,800,000",Cairo,Madinaty,3,3.0,207,No,Apartment,Cash,Ready To Move
"1,100,000",Cairo,New Cairo - El Tagamoa,3,3.0,150,No,Apartment,Cash,Ready To Move
"1,667,000",Cairo,New Cairo - El Tagamoa,3,3.0,168,No,Apartment,Cash,Ready To Move
"1,850,000",Cairo,Madinaty,2,1.0,70,No,Apartment,Cash,Ready To Move
"850,000",Cairo,Hadayek al-Kobba,2,1.0,120,No,Apartment,Cash,Ready To Move
"3,500,000Negotiable",,180 SQM,32icon/categories/area180 SQM,,icon/categories/area180,No,Apartment,Cash,Ready To Move
"3,600,000",Cairo,New Cairo - El Tagamoa,2,2.0,210,No,Apartment,Cash,Ready To Move
"2,500,000Negotiable",,109 SQM,32icon/categories/area109 SQM,,icon/categories/area109,No,Apartment,Cash,Ready To Move
